,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
0,A1 SH,STUART,2808,66.276,0.63,3.3,10.65,3.591,1,1,4
1,A1 SH,STUART,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,2
2,A1 SH,STUART,2809,82.899,0.566,9.4,13.6,3.064,1,0.956,2
3,A1 SH,STUART,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.933,2
4,A1 SH,STUART,2810,75.971,0.638,8.7,12.35,3.02,1,0.911,2
5,A1 SH,STUART,2810.5,73.955,0.667,6.9,12.25,3.086,1,0.889,4
6,A1 SH,STUART,2811,77.962,0.674,6.5,12.45,3.092,1,0.867,4
7,A1 SH,STUART,2811.5,83.894,0.667,6.3,12.65,3.123,1,0.844,4
8,A1 SH,STUART,2812,84.424,0.653,6.7,13.05,3.121,1,0.822,4
9,A1 SH,STUART,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,4
10,A1 SH,STUART,2813,79.063,0.651,7.3,12.05,3.147,1,0.778,2
11,A1 SH,STUART,2813.5,69.002,0.677,6.2,10.8,3.096,1,0.756,2
12,A1 SH,STUART,2814,63.983,0.69,4.4,9.7,3.103,1,0.733,2
13,A1 SH,STUART,2814.5,61.797,0.675,3.5,9.15,3.101,1,0.711,2
14,A1 SH,STUART,2815,61.372,0.646,2.8,9.3,3.065,1,0.689,2
15,A1 SH,STUART,2815.5,63.535,0.621,2.8,9.8,2.982,1,0.667,2
16,A1 SH,STUART,2816,65.126,0.6,3.3,10.55,2.914,1,0.644,2
17,A1 SH,STUART,2816.5,75.93,0.576,3.4,11.9,2.845,1,0.6,2
18,A1 SH,STUART,2817,85.077,0.584,4.4,12.9,2.854,1,0.578,2
19,A1 SH,STUART,2817.5,89.459,0.598,6.6,13.5,2.986,1,0.556,4
20,A1 SH,STUART,2818,88.619,0.61,7.2,14.8,2.988,1,0.533,4
21,A1 SH,STUART,2818.5,81.593,0.636,6.4,13.9,2.998,1,0.511,4
22,A1 SH,STUART,2819,66.595,0.702,2.8,11.4,2.988,1,0.489,4
23,A1 SH,STUART,2819.5,55.081,0.789,2.7,8.15,3.028,1,0.467,2
24,A1 SH,STUART,2820,48.112,0.84,1,7.5,3.073,1,0.444,6
25,A1 SH,STUART,2820.5,43.73,0.846,0.4,7.1,3.146,1,0.422,6
26,A1 SH,STUART,2821,44.097,0.84,0.7,6.65,3.205,1,0.4,6
27,A1 SH,STUART,2821.5,46.839,0.842,0.8,6.6,3.254,1,0.378,6
28,A1 SH,STUART,2822,50.348,0.843,1.1,6.75,3.23,1,0.356,6
29,A1 SH,STUART,2822.5,57.129,0.822,2.2,7.3,3.237,1,0.333,2
30,A1 SH,STUART,2823,64.465,0.777,4.4,8.4,3.259,1,0.311,2
31,A1 SH,STUART,2823.5,70.267,0.729,7.1,9.85,3.289,1,0.289,2
32,A1 SH,STUART,2824,76.566,0.664,10.7,11.55,3.381,1,0.244,2
33,A1 SH,STUART,2824.5,76.778,0.643,10.7,12.25,3.452,1,0.222,2
34,A1 SH,STUART,2825,73.971,0.632,9.7,12.55,3.396,1,0.2,2
35,A1 SH,STUART,2825.5,74.314,0.622,8.8,13.1,3.144,1,0.178,2
36,A1 SH,STUART,2826,77.031,0.583,4.8,16.2,3.034,1,0.156,4
37,A1 SH,STUART,2826.5,74.469,0.517,4.8,19.2,2.931,1,0.133,3
38,A1 SH,STUART,2827,73.327,0.489,6.3,20.35,2.88,1,0.111,3
39,A1 SH,STUART,2827.5,74.575,0.526,4.9,19.25,2.795,1,0.089,3
40,A1 SH,STUART,2828,70.536,0.558,6.5,17.05,3.009,1,0.067,4
41,A1 SH,STUART,2828.5,62.939,0.528,7.6,18.8,3.073,1,0.044,4
42,A1 SH,STUART,2829,57.137,0.511,10.9,19.15,3.313,1,0.022,8
43,A1 LM,STUART,2829.5,47.345,0.584,7,16.3,3.527,2,1,8
44,A1 LM,STUART,2830,35.733,0.73,6.4,10.2,3.928,2,0.987,8
45,A1 LM,STUART,2830.5,29.327,0.873,2.7,7.85,4.33,2,0.974,8
46,A1 LM,STUART,2831,28.242,0.963,1.4,6.3,4.413,2,0.961,6
47,A1 LM,STUART,2831.5,34.558,1.018,1.8,5.6,4.511,2,0.947,6
48,A1 LM,STUART,2832,43.754,1.054,1.8,5.2,4.412,2,0.934,6
49,A1 LM,STUART,2832.5,53.612,1.067,1.5,5.05,4.226,2,0.921,6
50,A1 LM,STUART,2833,60.719,1.039,1.9,4.85,3.931,2,0.908,5
51,A1 LM,STUART,2833.5,66.538,0.94,2.7,5.45,3.703,2,0.895,6
52,A1 LM,STUART,2834,75.522,0.801,4,7.3,3.501,2,0.882,4
53,A1 LM,STUART,2834.5,95.979,0.692,6.5,9.55,3.346,2,0.868,2
54,A1 LM,STUART,2835,130.26,0.644,8.3,11.15,3.242,2,0.855,4
55,A1 LM,STUART,2835.5,160.167,0.643,9.3,12.15,3.294,2,0.842,4
56,A1 LM,STUART,2836,176.528,0.673,9.1,12.05,3.298,2,0.829,4
57,A1 LM,STUART,2836.5,175.622,0.72,8.9,12.15,3.349,2,0.816,4
58,A1 LM,STUART,2837,153.965,0.756,7.6,11.9,3.31,2,0.803,4
59,A1 LM,STUART,2837.5,120.076,0.766,7.2,12.2,3.365,2,0.789,4
60,A1 LM,STUART,2838,91.434,0.787,7.1,12.15,3.392,2,0.776,4
61,A1 LM,STUART,2838.5,69.312,0.874,4.6,10.4,3.293,2,0.763,4
62,A1 LM,STUART,2839,54.828,1.029,0.8,8.2,3.395,2,0.75,5
63,A1 LM,STUART,2839.5,50.854,1.149,0.3,6.85,3.5,2,0.737,6
64,A1 LM,STUART,2840,54.632,1.09,1,7.4,3.576,2,0.724,5
65,A1 LM,STUART,2840.5,56.835,0.924,4.1,8.45,3.555,2,0.711,5
